vVirusNameCorrected,hHostNameFinal,WildDomInReference,DetectionMethod,DetectionQuality,Reference
Foot-and-mouth_disease_virus,Antidorcas_marsupialis,wild,Antibodies,0,Falconer & Child 1975 in Weaver & Karesh 2013
Lumpy_skin_disease_virus,Antidorcas_marsupialis,wild,Antibodies,0,Hedger et al. 1983
Rift_Valley_fever_virus,Antidorcas_marsupialis,wild,PCR,2,Capobianco Dondona 2016
Bluetongue_virus,Antilocapra_americana,wild,Antibodies,0,Dubay et al. 2006
Bovine_parainfluenza_virus_3,Antilocapra_americana,wild,Antibodies,0,Dunbar et al. 1999
Bovine_viral_diarrhea_virus_1,Antilocapra_americana,wild,SNT,1,Barrett and Chalmers 1975
Epizootic_hemorrhagic_disease_virus,Antilocapra_americana,wild,Antibodies,0,Dubay et al. 2006
St._Louis_encephalitis_virus,Antilocapra_americana,wild,Antibodies,0,Williams et al. 2001
Vesicular_stomatitis_Indiana_virus,Antilocapra_americana,wild,SNT,1,Webb et al. 1987
Bluetongue_virus,Antilope_cervicapra,wild,Antibodies,0,Bhat et al. 1998
Epizootic_hemorrhagic_disease_virus,Antilope_cervicapra,wild,Antibodies,0,Williams et al. 2001
Foot-and-mouth_disease_virus,Antilope_cervicapra,wild,Isolation,2,Kar et al. 1983; Hegde et al. 2011 in Weaver & Karesh 2013
Rabies_virus,Antrozous_pallidus,wild,PCR,2,Blanton et al. 2008
Measles_virus,Aotus_azarae,wild,Antibodies,0,O'Brien et al. 1981
Encephalomyocarditis_virus,Aotus_trivirgatus,wild,Isolation,2,Roca-Garcia 1957
GB_virus_A,Aotus_trivirgatus,wild,PCR,2,Bukh & Apgar 1997
GB_virus_B,Aotus_trivirgatus,captive,Isolation,2,Bukh et al. 2001a
Hepatitis_A_virus,Aotus_trivirgatus,captive,Antibodies,0,Lemon et al. 1982
Hepatitis_A_virus,Aotus_trivirgatus,wild,Antibodies,0,Lemon et al. 1982
Measles_virus,Aotus_trivirgatus,wild,Isolation,2,Fowler & Miller. 2003
Torque_Teno_virus,Aotus_trivirgatus,wild,PCR,2,Catroxo et al. 2008
Vesicular_stomatitis_Indiana_virus,Aotus_trivirgatus,wild,plaque reduction neutralization,1,Tesh et al. 1969
Yellow_fever_virus,Aotus_trivirgatus,wild,Antibodies,0,Seymour et al. 1983
California_encephalitis_virus,Apodemus_agrarius,wild,Antibodies,0,Mitchell et al. 1993
Dobrava-Belgrade_virus,Apodemus_agrarius,wild,Isolation,2,Plyusnin 2002
Hantaan_virus,Apodemus_agrarius,wild,Isolation,2,Acha & Szyfres 2003; Lee et al. 1978
Lymphocytic_choriomeningitis_virus,Apodemus_agrarius,wild,Antibodies,0,Tagliapietra et al. 2009
Tick-borne_encephalitis_virus,Apodemus_agrarius,wild,Isolation,2,Golovljova et al. 2004
Apoi_virus,Apodemus_argenteus,wild,Isolation,2,Karabatsos 1995
Cowpox_virus,Apodemus_flavicollis,wild,Antibodies,0,Acha & Szyfres 2003; Essbauer & Meyer 2007; Essbauer et al. 2009
Dobrava-Belgrade_virus,Apodemus_flavicollis,wild,Isolation,2,Avsic-Zupanc et al. 1992
Ljungan_virus,Apodemus_flavicollis,wild,PCR,2,Hauffe et al. 2010
Lymphocytic_choriomeningitis_virus,Apodemus_flavicollis,wild,Antibodies,0,Tagliapietra et al. 2009
Murid_herpesvirus_1,Apodemus_flavicollis,wild,Isolation,2,Mistrikova & Blaskovis 1985
Murid_herpesvirus_2,Apodemus_flavicollis,wild,PCR,2,Ehlers et al. 2007
Murid_herpesvirus_4,Apodemus_flavicollis,wild,Isolation,2,Blaskovic et al. 1980; Ehlers et al. 2007
Thiafora_virus,Apodemus_flavicollis,wild,Antibodies,0,Woessner et al. 2000
Tick-borne_encephalitis_virus,Apodemus_flavicollis,wild,Isolation,2,Acha & Szyfres 2003; Kozch et al. 1995
Lymphocytic_choriomeningitis_virus,Apodemus_mystacinus,wild,Antibodies,0,Tagliapietra et al. 2009
Hantaan_virus,Apodemus_peninsulae,wild,Isolation,2,Wang et al. 2000
Apoi_virus,Apodemus_speciosus,wild,Isolation,2,Karabatsos 1995
Cowpox_virus,Apodemus_sylvaticus,wild,PCR,2,Acha & Szyfres 2003; Chantrey et al. 1999
Ectromelia_virus,Apodemus_sylvaticus,wild,Antibodies,0,Kaplan et al. 1980
Encephalomyocarditis_virus,Apodemus_sylvaticus,wild,Antibodies,0,Kaplan et al. 1980
Eyach_virus,Apodemus_sylvaticus,wild,Isolation,2,Chastel et al. 1985
Ljungan_virus,Apodemus_sylvaticus,wild,PCR,2,Salisbury et al. 2014
Louping_ill_virus,Apodemus_sylvaticus,wild,Antibodies,0,Gilbert et al. 2000
Lymphocytic_choriomeningitis_virus,Apodemus_sylvaticus,wild,PCR,2,Ledesma et al. 2009
Murid_herpesvirus_1,Apodemus_sylvaticus,wild,PCR,2,Mistrikova & Blaskovis 1985
Murid_herpesvirus_2,Apodemus_sylvaticus,wild,PCR,2,Ehlers et al. 2007
Murid_herpesvirus_4,Apodemus_sylvaticus,wild,PCR,2,Blasdell et al. 2003
Murine_norovirus_1,Apodemus_sylvaticus,wild,PCR,2,Smith et al. 2012
Murine_pneumonia_virus,Apodemus_sylvaticus,wild,Antibodies,0,Kaplan et al. 1980
Rabbit_hemorrhagic_disease_virus,Apodemus_sylvaticus,wild,PCR,2,Merchan et al. 2011
Sendai_virus,Apodemus_sylvaticus,wild,Antibodies,0,Kaplan et al. 1980
Theilovirus,Apodemus_sylvaticus,wild,Antibodies,0,Kaplan et al. 1980
Thiafora_virus,Apodemus_sylvaticus,wild,Antibodies,0,Woessner et al. 2000
Tick-borne_encephalitis_virus,Apodemus_sylvaticus,wild,Isolation,2,Kozuch et al. 1995
Uukuniemi_virus,Apodemus_sylvaticus,wild,Antibodies,0,Traavik et al. 1977
Tula_virus,Apodemus_uralensis,wild,antigen,0,Heroldova et al. 2010
Influenza_A_virus,Arctocephalus_australis,wild,Antibodies,0,Blanc et al. 2009
Dengue_virus,Artibeus_cinereus,wild,Antibodies,0,Price 1978
Ilheus_virus,Artibeus_cinereus,wild,Antibodies,0,Price et al. 1978
Rabies_virus,Artibeus_cinereus,wild,Antibodies,0,Price & Everard 1977
Yellow_fever_virus,Artibeus_cinereus,wild,Antibodies,0,Price 1978
Rabies_virus,Artibeus_fimbriatus,wild,Isolation,2,Cunha et al. 2005
Dengue_virus,Artibeus_jamaicensis,wild,PCR,2,Aguilar-Setien et al. 2008
Eastern_equine_encephalitis_virus,Artibeus_jamaicensis,wild,Antibodies,0,Ubico & McClean 1995
Ilheus_virus,Artibeus_jamaicensis,wild,Antibodies,0,Price et al. 1978
Marituba_virus,Artibeus_jamaicensis,wild,Isolation,2,Calisher et al. 2006
Rabies_virus,Artibeus_jamaicensis,wild,Isolation,2,Price & Everard 1977
Rio_Bravo_virus,Artibeus_jamaicensis,wild,Antibodies,0,Ubico & McClean 1995
St._Louis_encephalitis_virus,Artibeus_jamaicensis,wild,Antibodies,0,Ubico & McClean 1995
Tacaribe_virus,Artibeus_jamaicensis,wild,Isolation,2,Abraham et al. 2009
Tamana_bat_virus,Artibeus_jamaicensis,wild,Antibodies,0,Price 1978
Venezuelan_equine_encephalitis_virus,Artibeus_jamaicensis,wild,Antibodies,0,Ubico & McClean 1995
Vesicular_stomatitis_Indiana_virus,Artibeus_jamaicensis,wild,Antibodies,0,Ubico & McClean 1995
Vesicular_stomatitis_New_Jersey_virus,Artibeus_jamaicensis,wild,Antibodies,0,Ubico & McClean 1995
Western_equine_encephalitis_virus,Artibeus_jamaicensis,wild,Antibodies,0,Ubico & McClean 1995
Yellow_fever_virus,Artibeus_jamaicensis,wild,Antibodies,0,Price 1978
Caraparu_virus,Artibeus_lituratus,wild,Antibodies,0,Geevarghesse & Banerjee 1990
Dengue_virus,Artibeus_lituratus,wild,Antibodies,0,Price 1978
Eastern_equine_encephalitis_virus,Artibeus_lituratus,wild,Antibodies,0,Ubico & McLean et al. 1995
Guama_virus,Artibeus_lituratus,wild,Antibodies,0,Price 1978
Ilheus_virus,Artibeus_lituratus,wild,Antibodies,0,Price 1978
Itaporanga_virus,Artibeus_lituratus,wild,Antibodies,0,Geevarghese & Banerjee  1990
Jurona_virus,Artibeus_lituratus,wild,Antibodies,0,Geevarghese & Banerjee  1990
Marituba_virus,Artibeus_lituratus,wild,Isolation,2,Calisher et al. 2006
Oriboca_virus,Artibeus_lituratus,wild,Antibodies,0,Price 1978
Oropouche_virus,Artibeus_lituratus,wild,Antibodies,0,Geevarghese & Banerjee 1990
Rabies_virus,Artibeus_lituratus,wild,Isolation,2,Kobayashi et al. 2005
Rio_Bravo_virus,Artibeus_lituratus,wild,Antibodies,0,Ubico & McClean 1995
St._Louis_encephalitis_virus,Artibeus_lituratus,wild,Antibodies,0,Ubico & McClean 1995
Tacaribe_virus,Artibeus_lituratus,wild,Isolation,2,Calisher et al. 2006
Venezuelan_equine_encephalitis_virus,Artibeus_lituratus,wild,Antibodies,0,Seymour et al. 1978
Vesicular_stomatitis_Indiana_virus,Artibeus_lituratus,wild,Antibodies,0,Ubico & McClean 1995
Western_equine_encephalitis_virus,Artibeus_lituratus,wild,Antibodies,0,Ubico & McClean 1995
Yellow_fever_virus,Artibeus_lituratus,wild,Antibodies,0,Price 1978
Rabies_virus,Artibeus_phaeotis,wild,Antibodies,0,Salas-Rojas et al. 2004
Rio_Bravo_virus,Artibeus_phaeotis,wild,Antibodies,0,Ubico and McClean 1995
St._Louis_encephalitis_virus,Artibeus_phaeotis,wild,Antibodies,0,Ubico & McClean 1995
Venezuelan_equine_encephalitis_virus,Artibeus_phaeotis,wild,Isolation,2,Calisher et al. 2006
Vesicular_stomatitis_Indiana_virus,Artibeus_phaeotis,wild,Antibodies,0,Ubico & McClean 1995
Vesicular_stomatitis_New_Jersey_virus,Artibeus_phaeotis,wild,Antibodies,0,Ubico & McClean 1995
Rabies_virus,Artibeus_planirostris,wild,Isolation,2,Kobayashi et al. 2007
Rio_Bravo_virus,Artibeus_toltecus,wild,Antibodies,0,Ubico and McClean 1995
Tacaribe_virus,Artibeus_toltecus,wild,Isolation,2,Abraham et al. 2009
Ippy_virus,Arvicanthis_neumanni,wild,Isolation,2,Meunier et al. 1985
Arumowot_virus,Arvicanthis_niloticus,wild,isolation,2,Kemp et al. 1974
Bunyamwera_virus,Arvicanthis_niloticus,wild,Isolation,2,Monath et al. 1972; Henderson et al. 1972
Ife_virus,Arvicanthis_niloticus,wild,Antibodies,0,Ezefeika et al. 1988
Ippy_virus,Arvicanthis_niloticus,wild,Isolation,2,Meunier et al. 1985
Lassa_virus,Arvicanthis_niloticus,wild,Antibodies,0,Gonzalez et al. 2007
Qalyub_virus,Arvicanthis_niloticus,wild,Isolation,2,Saluzzo et al. 1986
Rift_Valley_fever_virus,Arvicanthis_niloticus,wild,Antibodies,0,Gora et al. 2000
Saboya_virus,Arvicanthis_niloticus,wild,Isolation,2,Fontenille et al. 1994; Saluzzo et al. 1986; Grard et al. 2010
Uganda_S_virus,Arvicanthis_niloticus,wild,Isolation,2,Kemp 1975; Kemp et al. 1974
West_Nile_virus,Arvicanthis_niloticus,wild,Isolation,2,Hubalek & Halouzka 1999
Witwatersrand_virus,Arvicanthis_niloticus,wild,Isolation,2,Monath et al. 1972
Omsk_hemorrhagic_fever_virus,Arvicola_amphibius,wild,Isolation,2,Calisher et al. 2006
Tula_virus,Arvicola_amphibius,wild,PCR,2,Schlegel et al. 2012
Cowpox_virus,Arvicola_scherman,wild,Antibodies,0,Charbonnel et al. 2008
Lymphocytic_choriomeningitis_virus,Arvicola_scherman,wild,Antibodies,0,Tagliapietra et al. 2009
Bhanja_virus,Atelerix_albiventris,wild,Antibodies,0,Hubalek 2009
Chandipura_virus,Atelerix_albiventris,wild,Isolation,2,Kemp GE 1975
Kotonkan_virus,Atelerix_albiventris,wild,Antibodies,0,Kemp et al.1973
Semliki_Forest_virus,Atelerix_albiventris,wild,Isolation,2,CDC ArboCat Report
Ateline_herpesvirus_1,Ateles_geoffroyi,captive,isolation,2,Hull et al. 1972
Ateline_herpesvirus_2,Ateles_geoffroyi,wild,Isolation,2,Melendez et al. 1992
St._Louis_encephalitis_virus,Ateles_paniscus,wild,Isolation,2,Sabattini et al. 1965
Rabies_virus,Atilax_paludinosus,wild,PCR,2,van Zyl et al. 2010
Bluetongue_virus,Axis_axis,wild,Antibodies,0,Bhat et al. 1998
Epizootic_hemorrhagic_disease_virus,Axis_axis,domestic,Antibodies,0,Waldrup et al. 1989
Foot-and-mouth_disease_virus,Axis_axis,domestic,Isolation,2,Kar 1983
Amapari_virus,Baiomys_taylori,wild,Antibodies,0,Milazzo et al. 2010
Bayou_virus,Baiomys_taylori,wild,Antibodies,0,Holsomback et al. 2009
Vesicular_stomatitis_Indiana_virus,Baiomys_taylori,wild,plaque reduction neutralization,1,Aguirre et al. 1992
Influenza_A_virus,Balaenoptera_acutorostrata,wild,Antibodies,0,Ohishi et al. 2006
Vesicular_exanthema_of_swine_virus,Balaenoptera_borealis,wild,Antibodies,0,Smith et al. 1978
Vesicular_exanthema_of_swine_virus,Balaenoptera_physalus,wild,Antibodies,0,Smith et al. 1978
Hepatitis_E_virus,Bandicota_bengalensis,wild,Antibodies,0,Arankalle et al. 2001
Lassa_virus,Bandicota_indica,wild,Antibodies,0,Nitatpattana et al. 2000
Murid_herpesvirus_2,Bandicota_indica,wild,PCR,2,Ehlers et al. 2007
Murid_herpesvirus_4,Bandicota_indica,wild,PCR,2,Ehlers et al. 2007
Thailand_virus,Bandicota_indica,wild,Isolation,2,Elwell et al. 1985
Lassa_virus,Bandicota_savilei,wild,Antibodies,0,Nitatpattana et al. 2000
Thailand_virus,Bandicota_savilei,wild,Antibodies,0,Pattamadilok et al. 2006
European_bat_lyssavirus_1,Barbastella_barbastellus,wild,PCR,2,Muller unpublished in Muller et al. 2007
Tick-borne_encephalitis_virus,Barbastella_barbastellus,wild,Antibodies,0,Geevarghese & Banerjee 1990
Vesicular_stomatitis_Indiana_virus,Bassaricyon_gabbii,wild,plaque reduction neutralization,1,Tesh et al. 1969
Andes_virus,Bibimys_chacoensis,wild,Antibodies,0,Chu et al. 2003
Bluetongue_virus,Bison_bison,wild,Antibodies,0,Vestweber et al. 1991
Bovine_respiratory_syncytial_virus,Bison_bison,wild,Antibodies,0,Taylor et al. 1997
Bovine_viral_diarrhea_virus_1,Bison_bison,wild,Isolation,2,Deregt et al. 2005
California_encephalitis_virus,Bison_bison,domestic,Antibodies,0,Walters et al. 1999
Epizootic_hemorrhagic_disease_virus,Bison_bison,wild,Antibodies,0,Nol et al. 2010
Ovine_herpesvirus_2,Bison_bison,domestic,PCR,2,Schultheiss et al. 2000
Sindbis_virus,Bison_bison,wild,Antibodies,0,Walters et al. 1999
Bovine_herpesvirus_1,Bison_bonasus,wild,"PCR, Isolation",2,Borchers 2002
Bovine_viral_diarrhea_virus_1,Bison_bonasus,wild,PCR,2,Becher et al. 1999
Foot-and-mouth_disease_virus,Blastocerus_dichotomus,wild,Antibodies,0,Araujo et al. 2010 in Weaver et al. 2013
Foot-and-mouth_disease_virus,Bos_gaurus,domestic,Isolation,2,Choudhury et al. 1992
Ovine_herpesvirus_2,Bos_gaurus,wild,Isolation,2,Tyler et al.1993
Rinderpest_virus,Bos_gaurus,wild,Isolation,2,Chamberlain et al. 1993
Bovine_immunodeficiency_virus,Bos_javanicus,domestic,Antibodies,0,Patil et al. 2003
Ovine_herpesvirus_2,Bos_javanicus,wild,PCR,2,Wiyono et al. 1994
Bovine_herpesvirus_1,Bos_mutus,wild,"VNT, ELISA",1,Bandyopadhyay et al. 2009
Bovine_papillomavirus_1,Bos_mutus,domestic,PCR,2,Bam et al. 2012
Bovine_viral_diarrhea_virus_1,Bos_mutus,domestic,Isolation,2,Misrah et al. 2008
Foot-and-mouth_disease_virus,Bos_mutus,domestic,Isolation,2,Prasad et al. 1978
Adelaide_River_virus,Bos_taurus,domestic,Isolation,2,Gard et al. 1984
Akabane_virus,Bos_taurus,domestic,Antibodies,0,Kono et al. 2008
Alcelaphine_herpesvirus_1,Bos_taurus,domestic,PCR,2,Tham 1997
Banna_virus,Bos_taurus,domestic,Isolation,2,Tao et al. 2005
Berrimah_virus,Bos_taurus,domestic,Isolation,2,Gard et al. 1983
Bluetongue_virus,Bos_taurus,domestic,PCR,2,Polci et al. 2007
Border_disease_virus,Bos_taurus,domestic,PCR,2,McFadden et al. 2012
Borna_disease_virus,Bos_taurus,domestic,PCR,2,Dauphin et al. 2001
Bovine_adenovirus_A,Bos_taurus,domestic,Antibodies,0,Rossi et al. 1973
Bovine_adenovirus_B,Bos_taurus,domestic,Isolation,2,Duman et al. 2009
Bovine_adenovirus_C,Bos_taurus,domestic,Isolation,2,Adair et al. 2009
Bovine_adenovirus_D,Bos_taurus,domestic,Isolation,2,Coria et al. 1978
Bovine_adenovirus_E,Bos_taurus,domestic,Isolation,2,Graham et al. 2011
Bovine_astrovirus,Bos_taurus,domestic,Isolation,2,Woode et al. 1985
Bovine_coronavirus,Bos_taurus,domestic,PCR,2,Liu et al. 2006
Bovine_enteric_calicivirus_strain_NB,Bos_taurus,domestic,Isolation,2,Smiley et al. 2002
Bovine_ephemeral_fever_virus,Bos_taurus,domestic,Isolation,2,Stram et al. 2005
Bovine_foamy_virus,Bos_taurus,domestic,Isolation,2,Materniak et al. 2006
Bovine_herpesvirus_1,Bos_taurus,domestic,PCR,2,Ruiz-Saenz et al. 2012
Bovine_herpesvirus_2,Bos_taurus,domestic,Isolation,2,Hedger et al. 1977
Bovine_herpesvirus_4,Bos_taurus,domestic,PCR,2,Verna et al. 2012
Bovine_herpesvirus_5,Bos_taurus,domestic,Isolation,2,Maidana et al. 2011
Bovine_leukemia_virus,Bos_taurus,domestic,PCR,2,Sledge et al. 2009
Bovine_norovirus-CH126,Bos_taurus,domestic,PCR,2,Mauroy et al. 2009
Bovine_norovirus-Jena,Bos_taurus,domestic,PCR,2,Mauroy et al. 2009
Bovine_papillomavirus_1,Bos_taurus,domestic,PCR,2,Silva et al. 2010
Bovine_papillomavirus_3,Bos_taurus,domestic,Isolation,2,Campo et al. 1980
Bovine_papillomavirus_5,Bos_taurus,domestic,PCR,2,Lindholm et al. 1984
Bovine_papular_stomatitis_virus,Bos_taurus,domestic,PCR,2,de Sant'Ana et al. 2012
Bovine_parainfluenza_virus_3,Bos_taurus,domestic,Isolation,2,Zhu et al. 2011
Bovine_parvovirus,Bos_taurus,domestic,Isolation,2,Abinanti et al. 1961
Bovine_polyomavirus,Bos_taurus,domestic,Isolation,2,Coackley et al. 1980
Bovine_respiratory_syncytial_virus,Bos_taurus,domestic,PCR,2,Bidokhti et al. 2012
Bovine_torovirus,Bos_taurus,domestic,PCR,2,Hoet et al. 2003
Bovine_viral_diarrhea_virus_1,Bos_taurus,domestic,PCR,2,Pellerin et al. 1994
Bovine_viral_diarrhea_virus_2,Bos_taurus,domestic,PCR,2,Zhu et al. 2009
Bunyamwera_virus,Bos_taurus,domestic,Antibodies,0,Tauro et al. 2009
Corriparta_virus,Bos_taurus,domestic,Antibodies,0,Doherty et al. 1970
Cowpox_virus,Bos_taurus,domestic,PCR,2,Damaso et al. 2000
Crimean-Congo_hemorrhagic_fever_virus,Bos_taurus,domestic,PCR,2,Mourya et al. 2012
Dera_Ghazi_Khan_virus,Bos_taurus,domestic,Antibodies,0,Darwish et al. 1983
Dugbe_virus,Bos_taurus,domestic,Isolation,2,University of Georgia Report
Encephalomyocarditis_virus,Bos_taurus,domestic,Isolation,2,Tesh & Wallace 1978
Epizootic_hemorrhagic_disease_virus,Bos_taurus,domestic,Isolation,2,Nol et al. 2010
Foot-and-mouth_disease_virus,Bos_taurus,domestic,Isolation,2,Alexandersen et al. 2003 in Weaver & Karesh 2013
Gan_Gan_virus,Bos_taurus,domestic,Antibodies,0,Vale et al. 1991
Hepatitis_E_virus,Bos_taurus,domestic,Antibodies,0,Favorov et al. 2000
Ife_virus,Bos_taurus,domestic,Antibodies,0,Ezefeika et al. 1989
Koongol_virus,Bos_taurus,domestic,Antibodies,0,Doherty et al. 1970
Kotonkan_virus,Bos_taurus,domestic,Antibodies,0,Kemp et al.1973
Lumpy_skin_disease_virus,Bos_taurus,domestic,PCR,2,Lamien et al. 2011
Mumps_virus,Bos_taurus,domestic,Antibodies,0,Cuadrado 1959
Ovine_herpesvirus_2,Bos_taurus,domestic,PCR,2,Furlan et al. 2012
Palyam_virus,Bos_taurus,domestic,PCR,2,Aradaib et al. 2009
Patois_virus,Bos_taurus,domestic,Antibodies,0,Scherer et al. 1972
Peste-des-petits-ruminants_virus,Bos_taurus,domestic,ELISA,0,Khan et al. 2008
Pseudocowpox_virus,Bos_taurus,domestic,Isolation,2,Friedman-Kien et al. 1962
Rabies_virus,Bos_taurus,domestic,Direct Fluorescent Antibody Testing,0,Dauphin et al. 2001
Rift_Valley_fever_virus,Bos_taurus,domestic,PCR,2,Andriamandimby et al. 2010
Rinderpest_virus,Bos_taurus,domestic,Isolation,2,Chamberlain et al. 1993
Ross_River_virus,Bos_taurus,domestic,Antibodies,0,Almberg et al. 2009
Rotavirus_A,Bos_taurus,domestic,PAGE,0,Buzinaro et al. 2003
Rotavirus_B,Bos_taurus,domestic,Antibodies,0,Snodgrass et al. 1984
Rotavirus_C,Bos_taurus,domestic,Isolation,2,Tsunemitsu et al. 1991
Sathuperi_virus,Bos_taurus,domestic,Isolation,2,Yanase et al. 2003
Sepik_virus,Bos_taurus,domestic,Antibodies,0,Olson et al. 1986
Shuni_virus,Bos_taurus,domestic,PCR,2,Yanase et al. 2003
